id,chemin,classe,r_channel_mean,r_channel_var,r_channel_std,r_channel_25p,r_channel_50p,r_channel_75p,r_channel_iqr,g_channel_mean,g_channel_var,g_channel_std,g_channel_25p,g_channel_50p,g_channel_75p,g_channel_iqr,b_channel_mean,b_channel_var,b_channel_std,b_channel_25p,b_channel_50p,b_channel_75p,b_channel_iqr,r_hist_0,r_hist_1,r_hist_2,r_hist_3,g_hist_0,g_hist_1,g_hist_2,g_hist_3,b_hist_0,b_hist_1,b_hist_2,b_hist_3
1,../data/images/train/clean/WhatsApp Image 2020-05-09 at 2.03.38 PM (1).jpeg,clean,127.30333556149732,2331.7215147207316,48.28790236405731,114.0,136.0,150.0,36.0,127.7332174688057,2917.8329402717804,54.01696900300664,103.0,128.0,177.0,74.0,135.8165017825312,5320.582705409534,72.9423245133409,97.0,125.0,179.0,82.0,14.54,17.5,61.9,6.06,16.45,33.22,38.91,11.41,18.16,35.53,22.39,23.91
2,../data/images/train/clean/WhatsApp Image 2020-10-26 at 9.19.14 AM (2).jpeg,clean,117.01122805183947,3926.9163601348646,62.66511278322943,75.0,94.0,142.0,67.0,113.76030257107024,3909.1531497621295,62.52322088442125,75.0,90.0,130.0,55.0,113.32036057692308,3952.035199368313,62.865214541655014,75.0,91.0,127.0,52.0,13.42,56.21,16.47,13.9,12.66,61.85,11.59,13.9,14.07,61.09,10.86,13.98
3,../data/images/train/clean/WhatsApp Image 2020-08-20 at 7.44.06 AM (13).jpeg,clean,121.06743002544529,3768.240684743831,61.385997464762525,77.0,104.0,162.0,85.0,125.89719592875318,3063.374408422173,55.347758838296,91.0,115.0,151.0,60.0,109.07574045801526,3819.4283244517214,61.8015236418304,65.0,90.0,142.0,77.0,14.57,50.39,20.15,14.9,10.2,50.89,26.62,12.29,23.58,46.28,18.28,11.86
4,../data/images/train/clean/WhatsApp Image 2020-07-30 at 10.57.30 AM (3).jpeg,clean,130.53243254462433,3104.347059379529,55.716667698091285,77.0,144.0,173.0,96.0,114.06951224574512,3114.619719728886,55.80877816015045,62.0,121.0,150.0,88.0,94.81841843088418,2356.08017881869,48.53947031868694,50.0,102.0,127.0,77.0,19.12,21.48,50.14,9.26,25.38,30.17,35.24,9.21,29.78,45.48,22.03,2.71
5,../data/images/train/clean/WhatsApp Image 2020-05-08 at 2.19.00 PM (1).jpeg,clean,92.23748027613412,2630.600826984325,51.289383179994715,57.0,89.0,113.0,56.0,97.17647435897436,2908.8598676487513,53.933847143039515,63.0,93.0,115.0,52.0,82.74916666666667,2914.838764098455,53.98924674505521,47.0,74.0,97.0,50.0,28.8,54.07,10.53,6.61,25.02,57.07,8.05,9.86,36.36,48.36,8.21,7.06
6,../data/images/train/clean/01021_03.jpg,clean,124.68092222222222,2245.783822705062,47.389701652416655,96.0,122.0,161.0,65.0,132.12503611111111,2240.140668748696,47.330124326360014,100.0,138.0,165.0,65.0,133.96355555555556,2781.3643495802467,52.738641901173814,92.0,148.5,173.0,81.0,11.32,44.05,36.92,7.72,9.72,30.93,50.62,8.73,13.59,25.17,51.21,10.03
7,../data/images/train/clean/00543_02.jpg,clean,117.64511944444445,2391.1164625690653,48.89904357519752,84.0,111.0,151.0,67.0,117.13231944444445,2667.900588786844,51.651723967229245,80.0,110.0,157.0,77.0,116.22752777777778,2914.470114443672,53.9858325345055,75.0,107.0,166.0,91.0,14.18,47.66,28.09,10.08,15.51,45.08,28.78,10.63,18.24,44.38,26.14,11.24
8,../data/images/train/clean/WhatsApp Image 2020-05-11 at 8.24.43 PM (4).jpeg,clean,127.56160647571606,2294.3582262278705,47.899459560916455,90.0,132.0,165.0,75.0,124.69183478621835,1975.2411612246765,44.4436852795161,88.0,128.0,156.0,68.0,107.65134080531341,2331.1815916019923,48.28231137385608,67.0,103.0,144.0,77.0,12.45,33.64,47.02,6.89,9.98,39.94,44.35,5.73,21.77,44.26,28.82,5.15
9,../data/images/train/clean/WhatsApp Image 2021-01-11 at 9.38.37 AM (5).jpeg,clean,160.41590277777777,2447.423147564622,49.47143769453867,125.0,178.0,189.0,64.0,159.198649691358,2496.064280584074,49.96062730374864,119.0,177.0,191.0,72.0,153.8162750771605,3793.259460816309,61.58944277078913,103.0,172.0,189.0,86.0,4.61,21.41,52.59,21.39,4.45,23.58,48.02,23.96,10.32,23.73,43.87,22.09
10,../data/images/train/clean/WhatsApp Image 2020-05-11 at 2.03.11 PM.jpeg,clean,82.64766875,2467.9841272736066,49.67880964026419,52.0,70.0,93.0,41.0,79.72816458333334,3154.7210617562455,56.166903615530074,49.0,62.0,82.0,33.0,81.51097916666667,4479.17860029123,66.92666583874644,41.0,62.0,79.0,38.0,39.8,44.85,9.19,6.17,52.55,32.57,6.51,8.37,52.21,33.12,2.09,12.58
11,../data/images/train/clean/WhatsApp Image 2020-11-02 at 7.32.00 PM (6).jpeg,clean,125.58889387980307,2270.9496979007686,47.654482453393285,84.0,137.0,158.0,74.0,127.98998182049687,2035.7842550064602,45.11966594520022,93.0,135.0,158.0,65.0,124.89896228283628,1745.6714661575957,41.78123342073084,95.0,132.0,153.0,58.0,11.32,33.53,48.27,6.89,8.92,37.96,46.79,6.33,9.19,37.19,50.34,3.28
12,../data/images/train/clean/WhatsApp Image 2020-12-01 at 12.05.38 PM.jpeg,clean,98.59919097222222,4681.309527817696,68.42009593546106,47.0,76.0,132.0,85.0,95.72434305555555,4761.115454915644,69.00083662475147,44.0,73.0,131.0,87.0,87.92898819444444,5075.399751073468,71.24183989113047,35.0,62.0,124.0,89.0,42.25,31.19,13.6,12.95,43.9,29.92,13.83,12.36,50.7,25.42,11.69,12.19
13,../data/images/train/clean/WhatsApp Image 2020-05-08 at 2.24.46 PM (2).jpeg,clean,133.7605769230769,3961.2242692924065,62.93825759657163,80.0,117.0,182.0,102.0,131.06829881656805,3829.1367208732345,61.88001875301295,79.0,114.0,175.0,96.0,137.74001479289942,2910.5220280076705,53.949254193247846,97.0,127.0,172.0,75.0,7.69,48.34,21.97,22.0,8.43,49.29,22.14,20.14,4.46,45.62,30.78,19.14
14,../data/images/train/clean/01033_02.jpg,clean,126.21302777777778,1464.175119165895,38.26454127734834,100.0,128.0,150.0,50.0,127.32154722222222,1053.7428712727703,32.46140587332549,117.0,131.0,143.0,26.0,125.66534722222222,1363.4387880738814,36.92477201112935,107.0,126.0,155.0,48.0,5.84,43.58,46.01,4.57,5.75,36.68,54.95,2.62,7.37,43.88,46.72,2.03
15,../data/images/train/clean/02283_03.jpg,clean,139.06331666666668,1257.5820521108335,35.462403360613244,111.0,140.0,169.0,58.0,140.659625,1312.3891309704863,36.22691169518161,112.0,138.0,172.0,60.0,138.81848333333335,1665.6031239219444,40.81180128249603,108.0,134.0,175.0,67.0,2.23,39.52,54.59,3.66,1.79,41.14,51.62,5.46,4.46,41.68,48.41,5.45
16,../data/images/train/clean/2098.full.jpeg,clean,118.39847712889711,4946.253099140413,70.32960329150458,48.0,125.0,173.0,125.0,120.60501185212739,5192.962528506981,72.06221290320595,51.0,116.0,175.0,124.0,115.4938228692884,5911.670765161745,76.88739015704556,42.0,111.0,177.0,135.0,32.03,19.18,29.0,19.8,30.88,25.23,24.73,19.15,35.67,21.87,24.34,18.12
17,../data/images/train/clean/WhatsApp Image 2021-02-09 at 9.00.34 PM (3).jpeg,clean,90.65909908026755,4808.124975944196,69.34064447309525,46.0,60.0,103.0,57.0,94.79400501672241,5263.120505030073,72.54736731977304,48.0,63.0,107.0,59.0,90.7508737458194,5894.004035607807,76.77241715360933,41.0,57.0,103.0,62.0,55.13,22.95,3.02,18.91,51.63,26.17,2.63,19.57,59.84,18.33,2.03,19.79
18,../data/images/train/clean/WhatsApp Image 2020-08-27 at 3.47.00 PM (1).jpeg,clean,126.96858558558559,2396.522938059493,48.95429437811858,94.0,112.0,135.0,41.0,123.16446546546547,2515.261164323883,50.15237944827626,90.0,104.0,133.0,43.0,113.65257957957958,2832.891368120544,53.2249130400468,75.0,95.0,128.0,53.0,1.42,68.98,11.74,17.86,1.62,71.12,9.51,17.75,8.72,65.96,8.02,17.29
19,../data/images/train/clean/WhatsApp Image 2020-05-24 at 5.24.31 PM (10).jpeg,clean,121.43384738955824,713.0056318642604,26.702165302916175,106.0,114.0,132.0,26.0,118.12372690763053,643.0324024957015,25.358083573008855,105.0,113.0,128.0,23.0,112.65254618473895,616.9657095812005,24.838794447017765,101.0,109.0,123.0,22.0,0.58,70.97,28.35,0.1,1.04,73.28,25.62,0.06,2.76,75.66,21.55,0.03
20,../data/images/train/clean/WhatsApp Image 2021-02-09 at 8.54.10 AM.jpeg,clean,150.76245610367894,1078.3627723120362,32.83843437668788,135.0,152.0,168.0,33.0,145.25977633779263,1079.6973051339219,32.85874777184794,131.0,148.0,163.0,32.0,138.71794732441472,1127.7921310708039,33.58261650126154,124.0,144.0,158.0,34.0,1.59,16.77,71.73,9.91,2.12,19.86,70.93,7.09,3.27,24.53,68.29,3.91
21,../data/images/train/clean/WhatsApp Image 2020-11-02 at 7.32.00 PM (4).jpeg,clean,124.5996879221957,3954.079780638454,62.881474065407005,73.0,121.0,163.0,90.0,128.17974779301537,3732.858337419042,61.09712216969832,78.0,124.0,162.0,84.0,126.45278001406548,3568.852403089911,59.739872807781495,81.0,124.0,152.0,71.0,21.63,35.02,28.35,15.0,17.24,36.94,30.61,15.22,17.5,37.49,29.9,15.1
22,../data/images/train/clean/WhatsApp Image 2020-05-08 at 2.21.55 PM (4).jpeg,clean,95.4765125,4840.460694170679,69.57341945147355,38.0,63.0,177.0,139.0,94.12863541666667,4760.916846679581,68.99939743707608,36.0,64.0,161.0,125.0,90.81876041666666,5224.868325130102,72.28325065414603,30.0,56.0,144.0,114.0,50.21,15.65,18.06,16.08,50.0,16.13,18.47,15.41,51.94,15.7,16.3,16.06
23,../data/images/train/clean/WhatsApp Image 2020-10-20 at 7.14.11 PM (4).jpeg,clean,105.31983852424749,5500.43623226908,74.16492588999924,59.0,74.0,141.0,82.0,106.2882472826087,5697.763576338516,75.48353182210353,60.0,76.0,140.0,80.0,111.63694659280937,5451.893274267843,73.83693705908881,68.0,86.0,149.0,81.0,31.78,41.54,6.64,20.04,29.75,43.66,6.49,20.09,21.92,50.77,7.25,20.06
24,../data/images/train/clean/00605_06.jpg,clean,115.14569166666666,3166.6730544938205,56.27320014441884,72.0,114.0,141.0,69.0,116.64965833333333,3352.13488016104,57.89762413226505,72.0,114.0,142.0,70.0,112.199625,3740.0572970815974,61.156007857622605,63.0,111.0,140.0,77.0,20.29,47.16,17.64,14.92,19.94,48.11,15.99,15.96,25.21,44.75,13.73,16.31
25,../data/images/train/clean/WhatsApp Image 2020-05-24 at 5.24.32 PM (7).jpeg,clean,121.84059577677225,1184.1949749090018,34.41213412314037,104.0,121.0,135.0,31.0,119.74632352941177,1108.3865192889937,33.29243937125956,100.0,120.0,134.0,34.0,106.28050150829563,1206.7795655101788,34.73873292896819,83.0,111.0,124.0,41.0,3.9,57.96,33.75,4.38,3.54,61.03,31.73,3.7,11.41,70.41,15.46,2.72
